SYMB,MM/DD/YY,NAV
CWUR0000SA0,08/01/1916,11.0
CWUR0000SA0,07/01/1916,10.9
CWUR0000SA0,06/01/1916,10.9
CWUR0000SA0,05/01/1916,10.7
CWUR0000SA0,04/01/1916,10.7
CWUR0000SA0,03/01/1916,10.6
CWUR0000SA0,02/01/1916,10.5
CWUR0000SA0,01/01/1916,10.5
CWUR0000SA0,12/01/1915,10.4
CWUR0000SA0,11/01/1915,10.4
CWUR0000SA0,10/01/1915,10.3
CWUR0000SA0,09/01/1915,10.2
CWUR0000SA0,08/01/1915,10.2
CWUR0000SA0,07/01/1915,10.2
CWUR0000SA0,06/01/1915,10.2
CWUR0000SA0,05/01/1915,10.1
CWUR0000SA0,04/01/1915,10.1
CWUR0000SA0,03/01/1915,10.0
CWUR0000SA0,02/01/1915,10.1
CWUR0000SA0,01/01/1915,10.2
CWUR0000SA0,12/01/1914,10.2
CWUR0000SA0,11/01/1914,10.2
CWUR0000SA0,10/01/1914,10.2
CWUR0000SA0,09/01/1914,10.3
CWUR0000SA0,08/01/1914,10.2
CWUR0000SA0,07/01/1914,10.1
CWUR0000SA0,06/01/1914,10.0
CWUR0000SA0,05/01/1914,9.9
CWUR0000SA0,04/01/1914,9.9
CWUR0000SA0,03/01/1914,10.0
CWUR0000SA0,02/01/1914,10.0
CWUR0000SA0,01/01/1914,10.1
CWUR0000SA0,12/01/1913,10.1
CWUR0000SA0,11/01/1913,10.1
CWUR0000SA0,10/01/1913,10.1
CWUR0000SA0,09/01/1913,10.0
CWUR0000SA0,08/01/1913,10.0
CWUR0000SA0,07/01/1913,9.9
CWUR0000SA0,06/01/1913,9.8
CWUR0000SA0,05/01/1913,9.8
CWUR0000SA0,04/01/1913,9.9
CWUR0000SA0,03/01/1913,9.8
CWUR0000SA0,02/01/1913,9.8
CWUR0000SA0,01/01/1913,9.9
CUURS49DSA0,12/01/1922,15.5
CUURS49DSA0,09/01/1922,15.5
CUURS49DSA0,06/01/1922,15.6
